TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
291	218	276	276	277	278	1	1	2	13
290	230	288	288	289	290	1	1	2	0
290	213	264	264	265	266	1	1	2	24
289	216	272	272	273	274	1	1	2	15
288	176	216	216	217	272	55	1	56	16
287	208	256	256	257	258	1	1	2	29
286	211	261	261	262	263	1	1	2	23
282	221	280	280	281	282	1	1	2	0
282	174	213	213	214	269	55	1	56	13
279	219	277	277	278	279	1	1	2	0
279	206	252	252	253	254	1	1	2	25
276	217	274	274	275	276	1	1	2	0
276	173	213	213	214	269	55	1	56	7
275	209	258	258	259	260	1	1	2	15
271	171	213	213	214	262	48	1	49	9
269	214	267	267	268	269	1	1	2	0
269	169	211	211	212	253	41	1	42	16
267	207	254	254	255	256	1	1	2	11
266	205	250	250	251	252	1	1	2	14
264	161	201	201	202	249	47	1	48	15
262	168	211	211	212	255	43	1	44	7
262	162	203	203	204	252	48	1	49	10
260	163	203	203	204	251	47	1	48	9
259	200	244	244	245	246	1	1	2	13
258	201	246	246	247	248	1	1	2	10
255	159	200	200	201	242	41	1	42	13
255	189	228	228	229	230	1	1	2	25
249	160	200	200	201	243	42	1	43	6
249	157	196	196	197	236	39	1	40	13
249	190	231	231	232	233	1	1	2	16
247	156	195	195	196	235	39	1	40	12
245	199	243	243	244	245	1	1	2	0
245	158	198	198	199	238	39	1	40	7
242	198	240	240	241	242	1	1	2	0
242	178	218	218	219	220	1	1	2	22
239	149	188	188	189	227	38	1	39	12
238	146	186	186	187	223	36	1	37	15
235	152	190	190	191	228	37	1	38	7
235	145	185	185	186	221	35	1	36	14
234	179	220	220	221	222	1	1	2	12
230	186	228	228	229	230	1	1	2	0
230	147	187	187	188	225	37	1	38	5
230	142	178	178	179	217	38	1	39	13
230	172	213	213	214	215	1	1	2	15
228	185	226	226	227	228	1	1	2	0
228	165	204	204	205	206	1	1	2	22
226	184	224	224	225	226	1	1	2	0
225	183	223	223	224	225	1	1	2	0
224	170	211	211	212	213	1	1	2	11
222	132	166	166	167	206	39	1	40	16
221	166	207	207	208	209	1	1	2	12
220	139	174	174	175	213	38	1	39	7
220	138	172	172	173	213	40	1	41	7
220	130	165	165	166	204	38	1	39	16
220	155	194	194	195	196	1	1	2	24
219	137	172	172	173	210	37	1	38	9
216	164	203	203	204	205	1	1	2	11
215	128	165	165	166	201	35	1	36	14
212	123	157	157	158	199	41	1	42	13
211	135	168	168	169	206	37	1	38	5
211	124	159	159	160	199	39	1	40	12
211	148	188	188	189	190	1	1	2	21
210	122	157	157	158	199	41	1	42	11
210	120	153	153	154	194	40	1	41	16
209	144	183	183	184	185	1	1	2	24
206	141	176	176	177	178	1	1	2	28
205	129	165	165	166	200	34	1	35	5
203	118	151	151	152	193	41	1	42	10
